transaction_id,items
1,"sugar, dal, ghee, biscuit, salt, soap, rice"
2,"sugar, dal, oil, ghee, salt, soap, rice"
3,"dal, ghee, biscuit, salt, rice"
4,"salt, ghee, sugar, dal"
5,"salt, dal, tea"
6,tea
7,"dal, tea, oil, biscuit, salt, rice"
8,"ghee, sugar, rice, soap"
9,"dal, oil, atta, ghee, salt, rice"
10,"sugar, tea, ghee, salt, rice"
11,"sugar, dal, tea, salt, soap, rice"
12,"ghee, rice"
13,"tea, ghee, biscuit, salt, dal"
14,"rice, atta"
15,"oil, soap, rice, dal"
16,"salt, rice, dal, biscuit"
17,"ghee, sugar, rice, atta"
18,"sugar, rice, dal"
19,"dal, atta, ghee, salt, rice"
20,"sugar, ghee, biscuit, salt, rice"
21,"sugar, oil, atta, ghee, rice"
22,"salt, rice, dal, oil"
23,"ghee, rice, oil"
24,"biscuit, ghee, rice, dal"
25,"oil, ghee, biscuit, salt, rice"
26,"sugar, tea, oil, salt, dal"
27,"sugar, dal, oil, ghee, rice"
28,"sugar, dal, ghee, salt, rice"
29,"sugar, dal, tea, ghee, rice"
30,"dal, tea, oil, ghee, salt, soap, rice"
31,ghee
32,"sugar, dal, ghee, biscuit, salt, soap, rice"
33,"ghee, rice, atta"
34,"sugar, dal, ghee, salt, rice"
35,"dal, ghee, biscuit, salt, soap, rice"
36,salt
37,"sugar, dal, tea, ghee, salt, rice"
38,"dal, tea, atta, biscuit, salt, rice"
39,"dal, tea, oil, ghee, rice"
40,"ghee, sugar, rice, dal"
41,"tea, ghee, biscuit, salt, dal"
42,"salt, rice, dal, tea"
43,"dal, oil, atta, ghee, salt, rice"
44,"oil, ghee, rice, biscuit"
45,tea
46,"dal, oil, atta, ghee, biscuit, salt, rice"
47,"dal, oil"
48,"sugar, dal, tea, ghee, biscuit, rice"
49,"salt, ghee, rice"
50,"dal, oil, atta, ghee, biscuit, salt, rice"
51,"salt, ghee, rice, dal"
52,"salt, soap, rice, dal"
53,"dal, atta, salt, soap, rice"
54,"rice, biscuit"
55,"dal, atta, ghee, salt, rice"
56,"salt, rice"
57,"dal, tea, ghee, soap, rice"
58,"rice, tea"
59,"sugar, dal, oil, atta, rice"
60,"biscuit, dal, oil"
61,"salt, dal, oil"
62,"dal, atta, ghee, soap, rice"
63,"biscuit, ghee, rice, dal"
64,"salt, rice, dal, biscuit"
65,"ghee, sugar, rice, atta"
66,"salt, rice, dal, atta"
67,"salt, dal, oil, biscuit"
68,"dal, ghee, biscuit, salt, rice"
69,"dal, tea, atta"
70,"salt, ghee, rice, oil"
71,"salt, ghee, sugar, rice"
72,"ghee, rice, biscuit, atta"
73,"tea, oil, ghee, rice, dal"
74,"ghee, rice, atta"
75,"dal, tea, ghee, salt, rice"
76,"dal, tea, atta, soap, rice"
77,"biscuit, ghee, rice, dal"
78,"ghee, biscuit, salt, rice, dal"
79,"dal, tea, atta, soap, rice"
80,"sugar, dal, tea, biscuit, rice"
81,"salt, soap, dal, atta"
82,"salt, ghee, rice"
83,"sugar, dal, salt, soap, rice"
84,"sugar, dal, oil, ghee, salt, rice"
85,"rice, dal, oil, tea"
86,"ghee, rice, biscuit, atta"
87,"dal, tea, oil, ghee, biscuit, salt, rice"
88,"salt, rice, biscuit"
89,"ghee, rice, dal"
90,"dal, tea, atta, ghee, salt, rice"
91,"sugar, dal, oil, ghee, salt, rice"
92,sugar
93,"sugar, dal, oil, ghee, salt, soap, rice"
94,"sugar, dal, oil, ghee, biscuit, salt, rice"
95,"salt, soap, dal, oil"
96,"dal, tea, oil, salt, rice"
97,"ghee, rice, atta"
98,"dal, tea, ghee, salt, rice"
99,"soap, sugar, dal, oil"
